Trans name,Altamaha_SW48_000107-3_p08
hydrogenation/dehydrogenation,247
H2,245
C_1H_2O1,236
C_1O1,223
H4,217
CH4_O,216
CH6O_1,206
C_1H2O,203
methanol (-H2O),183
CH2,181
H_2C1,173
C1,166
C_2H_2O2,161
C2O_1,160
H6,155
C_2O2,153
CH_4,152
H_4O1,146
O1,145
hydroxylation (-H),145
H_2O1,142
C2H2O_1,139
C2H4O_1,134
C3H2O_2,126
H8,121
C_1H4O,121
C2H_2O_1,117
C1H4,116
C2H6O_1,115
H_6O1,112
C3H4O_2,111
C_1H_6O2,109
H2O,109
condensation/dehydration,108
C_1H_2O2,106
C_2H2O2,101
C_1H_4O2,98
C2H8O_1,88
C_3H_2O3,86
CH6,84
H_2C1O1,82
C_1O2,80
H4O,80
NH_CH2,79
C2,78
C2H_2,78
C_1H_1N1,76
ethyl addition_(_H2O)_C2H4,76
ethyl addition (-H2O),75
C1H2O1,75
C_1H2O2,73
C3H2O_1,73
CH_1N_1O,72
H1O1N_1,69
H3O_1N1,69
Formic Acid_(_H2O)_CO,68
Formic Acid (-H2O),67
H_1O1N_1,66
H10,62
C3H4O_1,62
CH_4O,61
CHN_1O,60
H3N_1O1,58
H1N1,56
C3O_1,55
secondary amine,54
C2H2,53
C1H4O1,53
C3H6O_1,52
C_1H_5N_1O2,51
H5O_1N1,49
H1O2N_1,48
O2,48
C1H_1N1O_1,48
N1H_3,46
H_4O2,45
C1H3N1O_1,44
H_1O2N_1,44
H3N1,43
H_2O2,43
H_1N1,43
C1H1N1O_1,42
CH5NO_1,41
H2O2,40
C_1H4O2,40
C3H2,39
H5O1N_1,38
C2HN_1O,38
C2O1,37
C2H_2O,37
C1H6O1,36
C3H6,36
PO43-,35
O3P1,35
C2H8,34
acetylation_(_H2O)_C2H2O,33
H4O2,33
C3,33
C1H_2O2,33
C2H3N1O_2,33
C2H4O1,32
C_1O3,32
H5N1,31
acetylation (-H2O),31
C4H4O_1,29
CHN_1O2,28
Carboxylation_CO2,27
C1H2O2,27
C1H4O_1S1,26
O2H6,26
C2H6O1,25
C1H4O2,25
Carboxylation,24
C1H_1N1,24
C3H4,23
C4H6O_1,23
C2H3NO_1,22
C4H2O_1,22
C4H8O_1,22
CH_4O2,21
C3H4O1,21
C2H5O_1N1,20
C1H5N1,20
C3H2O1,20
H_1N1O1,19
H1N1O1,19
C3H8,19
C2H8O,19
H_2O3,19
C1H1N1,18
O3,18
C3H6O1,18
O_1S1,18
C_1H1N_1S1,18
CH3N,17
H2S,17
C3O,17
C4H12O_1,17
glyoxylate_(_H2O)_C2O2,16
C4H4,16
C8H12O1S2,15
glyoxylate (-H2O),15
C4H2,15
H2O_1S1,15
C1H1O1N1,15
C2H_2O2,14
C4,13
2ndIP,13
C3H8O1,13
C2H7N1O_1,13
S1,13
C3H2O2,13
C3H_1N1O_2,13
C2H4O2,13
C4O,12
C2H3N_1O2,12
C2H2O2,12
H16,12
C2H3N,12
H_2S1,11
C3O2,11
C3H4O2,11
H3N1O5P2,11
C4H10O,11
CH6O2,11
C4H6O1,10
C12H8S2,10
C4H8O1,10
C4H6,10
C14H10O2S2,10
C4H8,10
C3H1N1O_1,10
C1H4O3,9
H_1N1O2,9
O4,9
C1H4S1,9
C2O3,9
C2H4O3,9
C5H4,9
C5H8O_1,9
CO3,9
C5H2O,9
C4H2O,9
H_2N_2O2,8
C4H4O1,8
C2H6S1,8
O_1H4N2,8
C3H4O3,8
C3H7N1O_1,8
H_2S1C1,8
#N/A-3,8
C5H8,8
O1S1,8
C2H2O2S_1,8
H4O3,7
CH3NO,7
C5H6,7
C3H6O3,7
C2H5N1,7
C2H5N,7
C6H14O_1,7
C3H3N1O_1,7
C1H4O1S1,7
C3H2N2O6P2,7
#N/A-2,7
C2H6O2,7
