

Dataset: Altamaha_PP48_000107-3_p08.xml

Pre-alignment:

Start ppm error: 5.00000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
181.60143000,-0.357682350784532,0.797866462665624,0.22439708,0.20848734,721
272.05494700,-0.382345506557001,0.757465254436346,0.18590544,0.20209756,722
294.04993150,-0.42739024851847,0.734466885008965,0.15395805,0.20639254,714
311.03941350,-0.366408603735552,0.705037765354215,0.17053713,0.19808306,710
326.05850650,-0.391310647577516,0.660522656266848,0.13279866,0.19358317,713
340.07421300,-0.41351297757061,0.66067609036552,0.12775037,0.19200057,701
353.57491050,-0.486401531375256,0.73114429126695,0.11957455,0.20815522,698
366.61264750,-0.505415151757513,0.717841979515206,0.11076248,0.20123783,713
379.62051800,-0.505805843426913,0.735384835106912,0.11647959,0.21640294,712
392.57548800,-0.487922197100814,0.765814608777105,0.13579351,0.21724147,711
404.61596650,-0.520020999232418,0.788910457188288,0.12894219,0.23933093,706
416.58845300,-0.529023042261683,0.89290733489874,0.18277265,0.26739211,699
428.17989250,-0.696911560926919,0.803379980395224,0.05618496,0.25872578,700
440.60166400,-0.673263989558731,0.936287098952038,0.13352792,0.29628978,691
453.08317900,-0.711425112698744,0.984007970005869,0.14102847,0.30696807,708
465.65123050,-0.718771228239338,1.08110669965857,0.17869597,0.32379507,706
479.17382700,-0.811342582757571,1.09133259978453,0.12111176,0.33455847,698
493.14270950,-0.936165541977257,1.27260511099905,0.17656552,0.40001701,699
507.65052850,-1.08102882049457,1.40679171607628,0.17134784,0.44959194,712
523.22541800,-1.10770953175687,1.44351516218528,0.16229407,0.46001575,711
542.21806250,-1.18361523741486,1.54773447123581,0.18388970,0.53663582,700
568.13548600,-1.36597376304965,1.68955892710496,0.17457750,0.55072580,723
653.18331100,-2.47084399393462,2.64018523678655,0.07325905,0.92260180,724
Calibration: calibrant peaks total 176 matched 165(165 distinct)
match_min_m=249.041117
match_max_m=619.0947696704
match_avg_err=1.6784857923631
match_med_err=1.59530450849049
match_std_err=0.412500050047581
linear_calibration=calibration iteration successful; original reference point count 165 removed points 63
linear_calibration=y = 2.86155420565395 + -0.00289381860534284 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.986017993244892
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C29H37O14	5520	609.2195763	609.2188800	1.143	609.2189070	0.044
C27H23O16	5492	603.0998550	603.0991600	1.152	603.0991818	0.036
C26H23O17	5506	607.0947697	607.0940700	1.152	607.0940990	0.048
C26H21O17	5498	605.0791196	605.0784200	1.156	605.0784476	0.046
C26H19O16	5418	587.0685549	587.0678600	1.184	587.0678723	0.021
C27H27O15	5439	591.1362406	591.1355400	1.185	591.1355602	0.034
C29H33O13	5433	589.1933615	589.1926600	1.191	589.1926801	0.034
C27H33O14	5375	581.1882761	581.1875800	1.198	581.1875905	0.018
C25H23O16	5351	579.0998550	579.0991600	1.200	579.0991684	0.014
C25H21O16	5336	577.0842050	577.0835100	1.204	577.0835173	0.013
C25H19O16	5322	575.0685549	575.0678600	1.208	575.0678663	0.011
C26H21O15	5301	573.0892904	573.0885900	1.222	573.0886009	0.019
C26H31O14	5229	567.1726261	567.1719300	1.227	567.1719340	0.007
C26H17O15	5246	569.0579902	569.0572900	1.231	569.0572989	0.016
C26H29O14	5204	565.1569760	565.1562800	1.232	565.1562831	0.005
C27H31O13	5189	563.1777114	563.1770100	1.246	563.1770177	0.014
C26H21O14	5133	557.0943757	557.0936800	1.249	557.0936797	-0.001
C25H19O15	5154	559.0736403	559.0729400	1.253	559.0729450	0.009
C25H29O14	5095	553.1569760	553.1562800	1.258	553.1562786	-0.003
C24H27O15	5117	555.1362406	555.1355400	1.262	555.1355438	0.007
C26H31O13	5076	551.1777114	551.1770100	1.273	551.1770133	0.006
C28H31O11	4991	543.1878822	543.1871900	1.274	543.1871817	-0.015
C26H29O13	5054	549.1620614	549.1613600	1.277	549.1613626	0.005
C27H29O12	5012	545.1671468	545.1664500	1.278	545.1664468	-0.006
C26H27O13	5032	547.1464113	547.1457100	1.282	547.1457119	0.004
C24H29O14	4962	541.1569760	541.1562800	1.286	541.1562749	-0.009
C24H27O14	4934	539.1413259	539.1406300	1.291	539.1406243	-0.011
C24H23O14	4879	535.1100258	535.1093300	1.300	535.1093232	-0.013
C25H29O13	4909	537.1620614	537.1613600	1.306	537.1613592	-0.001
C26H29O12	4852	533.1671468	533.1664500	1.307	533.1664437	-0.012
C27H29O11	4792	529.1722321	529.1715400	1.308	529.1715282	-0.022
C25H23O13	4820	531.1151112	531.1144100	1.320	531.1144077	-0.004
